ID_Étudiant,Nom,Travaux_Collaboratifs,Coéquipiers,Communautés,Nombre_Interactions,Compétences,Centres_d'Intérêt,profil_textuel
32,Etudiant_32,3.0,[31],"['Club Data Science', 'Club Robotique']",88.0,"['Blockchain', 'Design']","['Musique', 'Hackathon']",Blockchain Design Blockchain Design Blockchain Design Musique Hackathon Musique Hackathon Club Data Science Club Robotique
33,Etudiant_33,10.0,[25],"['Association Écologie', 'Club Robotique']",26.0,['Blockchain'],"['Jeux vidéo', 'Hackathon']",Blockchain Blockchain Blockchain Jeux vidéo Hackathon Jeux vidéo Hackathon Association Écologie Club Robotique
34,Etudiant_34,2.0,"[44, 15, 28, 17]","['Club Robotique', 'Club Entrepreneurs']",38.0,"['Marketing', 'Data Science', 'Blockchain']","['Musique', 'Robotique']",Marketing Data Science Blockchain Marketing Data Science Blockchain Marketing Data Science Blockchain Musique Robotique Musique Robotique Club Robotique Club Entrepreneurs
35,Etudiant_35,1.0,[34],['Club Entrepreneurs'],90.0,['Python'],"['Robotique', 'Musique', 'Écologie']",Python Python Python Robotique Musique Écologie Robotique Musique Écologie Club Entrepreneurs
36,Etudiant_36,4.0,"[7, 44, 1, 30]",['Club Robotique'],68.0,['Data Science'],"['Entrepreneuriat', 'Musique']",Data Science Data Science Data Science Entrepreneuriat Musique Entrepreneuriat Musique Club Robotique
37,Etudiant_37,9.0,[27],"['Association Écologie', 'Groupe IA']",87.0,['IA'],"['Jeux vidéo', 'Robotique']",IA IA IA Jeux vidéo Robotique Jeux vidéo Robotique Association Écologie Groupe IA
38,Etudiant_38,4.0,"[14, 45, 12, 28, 2]",['Club Robotique'],20.0,"['Data Science', 'Python']","['Hackathon', 'Entrepreneuriat']",Data Science Python Data Science Python Data Science Python Hackathon Entrepreneuriat Hackathon Entrepreneuriat Club Robotique
39,Etudiant_39,2.0,[43],['Association Écologie'],32.0,"['Marketing', 'Data Science']","['Hackathon', 'Jeux vidéo']",Marketing Data Science Marketing Data Science Marketing Data Science Hackathon Jeux vidéo Hackathon Jeux vidéo Association Écologie
40,Etudiant_40,5.0,"[15, 26, 9]","['Club Entrepreneurs', 'Association Écologie']",53.0,['IA'],"['Entrepreneuriat', 'Musique', 'Hackathon']",IA IA IA Entrepreneuriat Musique Hackathon Entrepreneuriat Musique Hackathon Club Entrepreneurs Association Écologie
41,Etudiant_41,9.0,"[36, 17, 27]","['Association Écologie', 'Club Entrepreneurs']",64.0,['Blockchain'],"['Musique', 'Entrepreneuriat', 'Robotique']",Blockchain Blockchain Blockchain Musique Entrepreneuriat Robotique Musique Entrepreneuriat Robotique Association Écologie Club Entrepreneurs
42,Etudiant_42,8.0,"[20, 35, 4]","['Club Entrepreneurs', 'Groupe IA']",35.0,['Électronique'],['Musique'],Électronique Électronique Électronique Musique Musique Club Entrepreneurs Groupe IA
43,Etudiant_43,9.0,[14],"['Groupe IA', 'Club Data Science']",57.0,"['Design', 'Data Science']",['Entrepreneuriat'],Design Data Science Design Data Science Design Data Science Entrepreneuriat Entrepreneuriat Groupe IA Club Data Science
44,Etudiant_44,9.0,"[46, 19, 43, 5]","['Club Robotique', 'Club Entrepreneurs']",56.0,['Data Science'],"['Jeux vidéo', 'Entrepreneuriat', 'Robotique']",Data Science Data Science Data Science Jeux vidéo Entrepreneuriat Robotique Jeux vidéo Entrepreneuriat Robotique Club Robotique Club Entrepreneurs
45,Etudiant_45,9.0,"[31, 44, 46, 39, 25]",['Club Data Science'],89.0,['Design'],"['Musique', 'Jeux vidéo', 'Entrepreneuriat']",Design Design Design Musique Jeux vidéo Entrepreneuriat Musique Jeux vidéo Entrepreneuriat Club Data Science
46,Etudiant_46,4.0,"[4, 47, 49]","['Club Entrepreneurs', 'Groupe IA']",68.0,['IA'],"['Hackathon', 'Écologie']",IA IA IA Hackathon Écologie Hackathon Écologie Club Entrepreneurs Groupe IA
47,Etudiant_47,1.0,"[46, 26, 31, 16]",['Association Écologie'],58.0,"['Blockchain', 'Marketing', 'Data Science']","['Écologie', 'Robotique']",Blockchain Marketing Data Science Blockchain Marketing Data Science Blockchain Marketing Data Science Écologie Robotique Écologie Robotique Association Écologie
48,Etudiant_48,7.0,"[20, 29, 40]","['Club Data Science', 'Club Robotique']",68.0,"['Data Science', 'Blockchain']","['Jeux vidéo', 'Robotique']",Data Science Blockchain Data Science Blockchain Data Science Blockchain Jeux vidéo Robotique Jeux vidéo Robotique Club Data Science Club Robotique
49,Etudiant_49,1.0,"[20, 37, 17]","['Groupe IA', 'Club Robotique']",32.0,"['Data Science', 'Blockchain']","['Jeux vidéo', 'Hackathon', 'Écologie']",Data Science Blockchain Data Science Blockchain Data Science Blockchain Jeux vidéo Hackathon Écologie Jeux vidéo Hackathon Écologie Groupe IA Club Robotique
50,Etudiant_50,4.0,"[36, 6, 18]","['Association Écologie', 'Groupe IA']",11.0,"['IA', 'Blockchain', 'Data Science']",['Hackathon'],IA Blockchain Data Science IA Blockchain Data Science IA Blockchain Data Science Hackathon Hackathon Association Écologie Groupe IA
